Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.01,A,Lecture,Economic Analysis for Business Decisions ,ECON,,Tier,J. Doyle,67,Y,Y,"T, Th",10:00 AM,11:30 AM,E51-335,,,,,,,,
15.01,A,Recitation1,Economic Analysis for Business Decisions  ,ECON,,,J. Doyle,67,Y,Y,F,12:00 PM,1:00 PM,E51-345,,,,,,,,
15.01,A,Recitation2,Economic Analysis for Business Decisions  ,ECON,,,J. Doyle,67,Y,Y,F,1:00 PM,2:00 PM,E51-345,,,,,,,,
15.01,B,Lecture,Economic Analysis for Business Decisions  ,ECON,,,E. Johnson,67,Y,Y,"T, Th",10:00 AM,11:30 AM,E51-315,,,,,,,,
15.01,B,Recitation1,Economic Analysis for Business Decisions   ,ECON,,,E. Johnson,67,Y,Y,F,12:00 PM,1:00 PM,E51-325,,,,,,,,
15.01,B,Recitation2,Economic Analysis for Business Decisions  ,ECON,,,E. Johnson,67,Y,Y,F,1:00 PM,2:00 PM,E51-325,,,,,,,,
15.01,C,Lecture,Economic Analysis for Business Decisions,ECON,,,T. TBD,67,Y,Y,"T, Th",10:00 AM,11:30 AM,E51-325,,,,,,,,
15.01,C,Recitation1,Economic Analysis for Business Decisions  ,ECON,,,T. TBD,67,Y,Y,F,12:00 PM,1:00 PM,E51-315,,,,,,,,
15.01,C,Recitation2,Economic Analysis for Business Decisions  ,ECON,,,T. TBD,67,Y,Y,F,1:00 PM,2:00 PM,E51-315,,,,,,,,
15.01,D,Lecture,Economic Analysis for Business Decisions  ,ECON,,,J. Doyle,67,Y,Y,"T, Th",8:30 AM,10:00 AM,E51-335,,,,,,,,
15.01,D,Recitation1,Economic Analysis for Business Decisions  ,ECON,,,"A. Bonatti, J. Doyle",67,Y,Y,F,12:00 PM,1:00 PM,E51-145,,,,,,,,
15.01,D,Recitation2,Economic Analysis for Business Decisions,ECON,,,J. Doyle,67,Y,Y,F,1:00 PM,2:00 PM,E51-145,,,,,,,,
15.01,E,Lecture,Economic Analysis for Business Decisions  ,ECON,,,E. Johnson,67,Y,Y,"T, Th",8:30 AM,10:00 AM,E51-315,,,,,,,,
15.01,E,Recitation1,Economic Analysis for Business Decisions  ,ECON,,,E. Johnson,67,Y,Y,F,12:00 PM,1:00 PM,E51-335,,,,,,,,
15.01,E,Recitation2,Economic Analysis for Business Decisions  ,ECON,,,E. Johnson,67,Y,Y,F,1:00 PM,2:00 PM,E51-335,,,,,,,,
15.01,F,Lecture,Economic Analysis for Business Decisions  ,ECON,,,T. TBD,67,Y,Y,"T, Th",8:30 AM,10:00 AM,E51-325,,,,,,,,
15.01,F,Recitation1,Economic Analysis for Business Decisions  ,ECON,,,T. TBD,67,Y,Y,F,12:00 PM,1:00 PM,E51-395,,,,,,,,
15.01,F,Recitation2,Economic Analysis for Business Decisions  ,ECON,,,T. TBD,67,Y,Y,F,1:00 PM,2:00 PM,E51-395,,,,,,,,
15.011,,Lecture,Economic Analysis for Business Decisions ,ECON,,,H. Rantakari,86,,,"T, Th",4:00 PM,5:30 PM,E51-315,,,,,,,,
15.011, ,Recitation1,Economic Analysis for Business Decisions ,ECON,,,H. Rantakari,86,,,F,12:00 PM,2:00 PM,E51-151,,,,,,,,
15.011, ,Recitation2,Economic Analysis for Business Decisions ,ECON,,,H. Rantakari,86,,,Th,5:30 PM,6:30 PM,E51-372,,,,,,,,
15.013,A,Lecture,Industrial Economics for Strategic Decisions,ECON,,,R. Pindyck,86,,,"M, W",10:00 AM,11:30 AM,E51-315,,,,,,,,
15.013,B,Lecture,Industrial Economics for Strategic Decisions,ECON,,,R. Pindyck,86,,,"M, W",1:00 PM,2:30 PM,E51-315,,,,,,,,
15.015,A,Lecture,Macro and International Economics,ECON,H1,,"R. Rigobon, T. Suri",65,,,"T, Th",8:30 AM,10:00 AM,E51-149,,,,,,,,
15.015,B,Lecture,Macro and International Economics,ECON,H1,,"R. Rigobon, T. Suri",65,,,"T, Th",10:00 AM,11:30 AM,E51-149,,,,,,,,
15.031J,,Lecture,"Energy Decisions, Markets, and Policies  ??",ECON,,,R. Schmalensee,57,,,"M, W, F",2:30 PM,4:00 PM,E51-149,,,,,,,,
15.054 J,,Lecture,The Airline Industry,OR/STAT,,,"A. Barnett, C. Barnhart, P. Belobaba, R. Hansman, T. Kochan, A. Odoni",24,Y,Y,"M, W",1:00 PM,2:30 PM,33-149,,,,,,,,
15.06,A,Lecture,"Data, Models, and Decisions ",OR/STAT,,,A. Schulz,67,Y,Y,"M, W",8:30 AM,10:00 AM,E62-223,,,,,,,,
15.06,A-rec,Recitation,"Data, Models, and Decisions  ",OR/STAT,,,A. Schulz,67,Y,Y,Th,4:00 PM,5:00 PM,E52-250,,,,,,,,
15.06,B,Lecture,"Data, Models, and Decisions  ",OR/STAT,,,J. Vielma,67,Y,Y,"M, W",8:30 AM,10:00 AM,E51-335,,,,,,,,
15.06,B-rec,Recitation,"Data, Models, and Decisions ",OR/STAT,,,J. Vielma,67,Y,Y,W,3:00 PM,4:00 PM,E51-145,,,,,,,,
15.06,C,Lecture,"Data, Models, and Decisions  ",OR/STAT,,,I. Ashlagi,67,Y,Y,"M, W",8:30 AM,10:00 AM,E62-262,,,,,,,,
15.06,C-rec,Recitation,"Data, Models, and Decisions ",OR/STAT,,,I. Ashlagi,67,Y,Y,W,3:00 PM,4:00 PM,E51-376,,,,,,,,
15.06,D,Lecture,"Data, Models, and Decisions",OR/STAT,,,A. Schulz,67,Y,Y,"M, W",10:00 AM,11:30 AM,E62-223,,,,,,,,
15.06,D-rec,Recitation,"Data, Models, and Decisions ",OR/STAT,,,A. Schulz,67,Y,Y,W,3:00 PM,4:00 PM,E51-335,,,,,,,,
15.06,E,Lecture,"Data, Models, and Decisions  ",OR/STAT,,,J. Vielma,67,Y,Y,"M, W",10:00 AM,11:30 AM,E51-336,,,,,,,,
15.06,E-rec,Recitation,"Data, Models, and Decisions",OR/STAT,,,J. Vielma,67,Y,Y,Th,3:00 PM,4:00 PM,E62-233,,,,,,,,
15.06,F,Lecture,"Data, Models, and Decisions  ",OR/STAT,,,I. Ashlagi,67,Y,Y,"M, W",10:00 AM,11:30 AM,E62-262,,,,,,,,
15.06,F-rec,Recitation,"Data, Models, and Decisions ",OR/STAT,,,I. Ashlagi,67,Y,Y,Th,1:00 PM,2:00 PM,E51-395,,,,,,,,
15.062 J,,Lecture,Data Mining: Finding the Data and Models that Create Value ,OR/STAT,H2,,R. Welsch,40,,,"M, W",4:00 PM,5:30 PM,E62-250,,,,,,,,
15.062 J,rec,Recitation,Data Mining: Finding the Data and Models that Create Value,OR/STAT,H2,,R. Welsch,40,,,T,4:00 PM,5:00 PM,E51-395,,,,,,,,
15.070 J,,Lecture,Advanced Stochastic Processes ,OR/STAT,,,D. Gamarnik,35,,,"M, W",1:00 PM,2:30 PM,E62-221,"M, W",2:30 PM,4:00 PM,E62-221,"M, W",10:00 AM,11:30 AM,E62-221
15.073 J,,Lecture,Logistical & Transportation Planning Methods,OR/STAT,,,"A. Barnett, R. Larson, A. Odoni, J. Orlin",13,Y,Y,"M, W",10:30 AM,12:00 PM,5-134,,,,,,,,
15.081 J,,Lecture,Introduction to Mathematical Programming,OR/STAT,,,J. Orlin,35,,,"T, Th",10:00 AM,11:30 AM,E51-376,,,,,,,,
15.081 J,rec,Recitation,Introduction to Mathematical Programming,OR/STAT,,,J. Orlin,35,,,F,11:00 AM,12:00 PM,E51-376,,,,,,,,
15.223,A,Lecture,"Global Markets, National Policies and the Competitive Advantages of Firms",GEM,H2,,S. Johnson,65,,,"T, Th",10:00 AM,11:30 AM,E51-149,,,,,,,,
15.223,B,Lecture,"Global Markets, National Policies and the Competitive Advantages of Firms",GEM,H2,,S. Johnson,65,,,"T, Th",1:00 PM,2:30 PM,E51-149,,,,,,,,
