Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.012,A,,Applied Macro & Intnl Econ,Economics,H1,Tier,"A. Cavallo, T. Suri",67,,y,"M, W, F",8:30 AM,10:00 AM,E51-149,,,,,,,,
15.012,B,,Applied Macro & Intnl Econ,Economics,H1,Tier,"A. Cavallo, T. Suri",67,,y,"M, W, F",10:00 AM,11:30 AM,E51-149,,,,,,,,
15.012,C,,Applied Macro & Intnl Econ,Economics,H1,Tier,"A. Cavallo, T. Suri",67,,y,"M, W, F",2:30 PM,4:00 PM,E51-149,,,,,,,,
15.014,A,,Applied Macro & Intnl Econ II,Economics,H2,Tier,R. Rigobon,70,,y,"M, W, F",8:30 AM,10:00 AM,,,,,,,,,
15.014,B,,Applied Macro & Intnl Econ II,Economics,H2,Tier,R. Rigobon,70,,y,"M, W, F",10:00 AM,11:30 AM,,,,,,,,,
15.025,,Breakout,Game Theory,Economics,,Tier,A. Bonatti,80,,,"T, Th",10:00 AM,11:30 AM,E62-223,"T, Th",1:00 PM,2:30 PM,,"T, Th",8:30 AM,10:00 AM,
15.032J,,,Engineering Econ,Economics,,Tier,C. Knittel,46,,,"M, W ",10:30 AM,12:00 PM,E52-175,,,,,,,,
15.032J,,Rec,Engineering Econ,Economics,,Tier,Knit1,46,,,F ,10:30 AM,12:00 PM,E51-395,,,,,,,,
15.037J,,,Energy Econ & Policy (Ugrad),Economics,,,C. Knittel,70,,y,"T, Th",1:00 PM,2:30 PM,E51-395,,,,,,,,
15.037J,,Rec,Energy Econ & Policy (Ugrad),Economics,,,Knit2,70,y,y,F,2:00 PM,3:00 PM,E25-111,,,,,,,,
15.038J,,,Energy Econ & Policy (Grad),Economics,,,C. Knittel,70,,y,"T, Th",2:30 PM,4:00 PM,E51-395,,,,,,,,
15.038J,,Rec,Energy Econ & Policy (Grad),Economics,,,Knit3,70,,y,F,2:30 PM,4:00 PM,,,,,,,,,
15.034,,,Metics for Managers,Economics,,Tier,"J. Doyle, R. Rigobon, T. Stoker",80,,,"T, Th",2:30 PM,4:00 PM,E62-223,"T, Th",1:00 PM,2:30 PM,,"T, Th",10:00 AM,11:30 AM,
15.053,,,Optimization Methods in Mgmt Science (Ugrad),OR/STAT,,,J. Orlin,100,Y,y,"T, Th",1:00 PM,2:30 PM,E25-111,,,,,,,,
15.053,,Rec,Optimization Methods in Mgmt Science (Ugrad),OR/STAT,,Tier,Orl1,100,,,F,1:00 PM,2:30 PM,E51-149,,,,,,,,
15.058,,,Optimization Methods in OR (Grad),OR/STAT,,,J. Orlin,70,y,y,"T, Th",2:30 PM,4:00 PM,E25-111,,,,,,,,
15.058,,Rec,Optimization Methods in OR (Grad),OR/STAT,,Tier,Orl2,70,,,F,2:00 PM,3:00 PM,E51-149,,,,,,,,
15.068,A,,Statistical Consulting,OR/STAT,,Tier,A. Barnett,45,,,"M, W",1:00 PM,2:30 PM,E51-151,,,,,,,,
15.068,B,,Statistical Consulting,OR/STAT,,Tier,A. Barnett,45,,,"M, W",2:30 PM,4:00 PM,E51-145,,,,,,,,
15.071J,,,The Analytics Edge,OR/STAT,H1,Tier,D. Bertsimas,110,,,W,4:00 PM,7:00 PM,E51-345,M,4:00 PM,7:00 PM,,W ,2:00 PM,5:00 PM,
15.071J,,Rec,The Analytics Edge,OR/STAT,H1,,Bert1,110,,,F,2:00 PM,3:00 PM,E51-345,,,,,,,,
15.074J,,,Predictive Analytics,OR/STAT,,Tier,R. Welsch,59,,,"M, W",1:00 PM,2:30 PM,E52-175,,,,,,,,
15.074J,,Rec,Predictive Analytics,OR/STAT,,,Wel1,59,,,Th ,4:00 PM,5:00 PM,E51-325,,,,,,,,
15.075J,,,Statistical Thining and Data Anal.,OR/STAT,,Tier,C. Rudin,50,,,"M, W",10:00 AM,11:30 AM,E62-250,"M, W",8:30 AM,10:00 AM,,,,,
15.077J,,,Statistical Learning and Data Mining,OR/STAT,,Tier,R. Welsch,50,,,"M, W",4:00 PM,5:30 PM,E52-175,,,,,,,,
15.077J,,Rec,Statistical Learning and Data Mining,OR/STAT,,,Wel2,50,,,T,4:00 PM,5:00 PM,E51-085,,,,,,,,
15.078J,,,"Models, Data and Inference for Socio-Tech",OR/STAT,,Tier,"D. Frey, R. Welsch",50,,,"M, W",10:30 AM,12:00 PM,E51-372,"M, W",10:00 AM,11:30 AM,,,,,
15.078J,,Rec,"Models, Data and Inference for Socio-Tech",OR/STAT,,,Wel3,50,,,F,10:30 AM,12:00 PM,E51-372,F,10:00 AM,11:30 AM,,,,,
15.141J,,,Econ of HC Industries,HCM,,Tier,E. Berndt,60,,,W ,4:00 PM,7:00 PM,E62-223,T,4:00 PM,7:00 PM,E62-250,Th ,4:00 PM,7:00 PM,
15.218,A,,Global Econ Challenges,GEM, ,,K. Forbes,110, ,Y,"T , Th",8:30 AM,10:00 AM,E62-276,,,,,,,,
15.218,B,,Global Econ Challenges,GEM, ,,K. Forbes,110, ,Y,"T , Th",10:00 AM,11:30 AM,E62-276,,,,,,,,
15.22,A,,Global Strategy,GEM,H1,Flat,J. Santos,70, ,y,"M, W",8:30 AM,10:00 AM,E62-233,,,,,,,,
15.22,B,,Global Strategy,GEM,H1,Flat,J. Santos,70, ,y,"M, W",10:00 AM,11:30 AM,E62-233,,,,,,,,
15.22,C,,Global Strategy,GEM,H2,Tier,E. Obukhova,70,,Y,"T, Th",1:00 PM,2:30 PM,E62-223,,,,,,,,
15.22,D,,Global Strategy,GEM,H2,Tier,E. Obukhova,70,,Y,"T, Th",2:30 PM,4:00 PM,,,,,,,,,
15.223,A,,"Global Markets, National Policies",GEM,H1,Tier,E. Obukhova,50,,Y,"T, Th",1:00 PM,2:30 PM,E51-395,,,,,,,,
15.223,B,,"Global Markets, National Policies",GEM,H1,Tier,E. Obukhova,50,,Y,"T, Th",2:30 PM,4:00 PM,E51-395,,,,,,,,
15.225,A,,Econ and Bus in China & India,GEM,H1,Tier,Y. Huang,70,,Y,"T, Th",1:00 PM,2:30 PM,E62-223,,,,,,,,
15.225,B,,Econ and Bus in China & India,GEM,H1,Tier,Y. Huang,70,,Y,"T, Th",2:30 PM,4:00 PM,E62-223,,,,,,,,
15.228,A,,SSIM: MBA Tour,GEM,H1,Tier,TBD,25,,,M ,6:00 PM,9:00 PM,E51-372,,,,,,,,
15.228,B,,SSIM: MBA Tour,GEM,H1,Tier,TBD,25,,,M ,6:00 PM,9:00 PM,E51-376,,,,,,,,
