Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.012,A,,Applied Macro & Intnl Econ,Economics,H1,,"A. Cavallo, T. Suri",67,,,"M, W, F",8:30 AM,10:00 AM,E51-149,,,,,,,,
15.012,B,,Applied Macro & Intnl Econ,Economics,H1,,"A. Cavallo, T. Suri",67,,,"M, W, F",10:00 AM,11:30 AM,E51-149,,,,,,,,
15.012,C,,Applied Macro & Intnl Econ,Economics,H1,,"A. Cavallo, T. Suri",67,,,"M, W, F",2:30 PM,4:00 PM,E51-149,,,,,,,,
15.014,A,,Applied Macro & Intnl Econ II,Economics,H2,,R. Rigobon,70,,,"M, W, F",8:30 AM,10:00 AM,,,,,,,,,
15.014,B,,Applied Macro & Intnl Econ II,Economics,H2,,R. Rigobon,70,,,"M, W, F",10:00 AM,11:30 AM,,,,,,,,,
15.025,,,Game Theory,Economics,,,A. Bonatti,80,,,"T, Th",10:00 AM,11:30 AM,E62-223,"T, Th",1:00 PM,2:30 PM,,"T, Th",8:30 AM,10:00 AM,
15.032J,,,Engineering Econ,Economics,,,C. Knittel,46,,,"M, W ",10:30 AM,12:00 PM,E52-175,,,,,,,,
15.032J,,Rec,Engineering Econ,Economics,,,Knit1,46,,,F ,10:30 AM,12:00 PM,E51-395,,,,,,,,
15.037J,,,Energy Econ & Policy (Ugrad),Economics,,,C. Knittel,70,,y,"T, Th",1:00 PM,2:30 PM,E51-395,,,,E51-395,,,,
15.037J,,Rec,Energy Econ & Policy (Ugrad),Economics,,,Knit2,70,y,y,F,2:00 PM,3:00 PM,E25-111,,,,,,,,
15.038J,,,Energy Econ & Policy (Grad),Economics,,,C. Knittel,70,Y,y,"T, Th",2:30 PM,4:00 PM,E25-111,,,,E51-395,,,,
15.038J,,Rec,Energy Econ & Policy (Grad),Economics,,,Knit3,70,y,,F,2:30 PM,4:00 PM,E25-111,,,,,,,,
15.034,,,Metics for Managers,Economics,,,"J. Doyle, R. Rigobon, T. Stoker",80,,,"T, Th",2:30 PM,4:00 PM,E62-223,"T, Th",1:00 PM,2:30 PM,E62-223,"T, Th",10:00 AM,11:30 AM,E62-223
15.053,,,Optimization Methods in Mgmt Science (Ugrad),OR/STAT,,,J. Orlin,100,Y,,"T, Th",1:00 PM,2:30 PM,E25-111,,,,,,,,
15.053,,Rec,Optimization Methods in Mgmt Science (Ugrad),OR/STAT,,,Orl1,100,,,F,1:00 PM,2:30 PM,E51-149,,,,,,,,
15.058,,,Optimization Methods in OR (Grad),OR/STAT,,,J. Orlin,70,,y,"T, Th",2:30 PM,4:00 PM,,,,,,,,,
15.058,,Rec,Optimization Methods in OR (Grad),OR/STAT,,,Orl2,70,,,F,2:00 PM,3:00 PM,E51-149,,,,,,,,
15.068,A,,Statistical Consulting,OR/STAT,,,A. Barnett,45,,,"M, W",1:00 PM,2:30 PM,E51-151,,,,,,,,
15.068,B,,Statistical Consulting,OR/STAT,,,A. Barnett,45,,,"M, W",2:30 PM,4:00 PM,E51-145,,,,,,,,
15.071J,,,The Analytics Edge,OR/STAT,H1,,D. Bertsimas,110,,,W,4:00 PM,7:00 PM,E51-345,M,4:00 PM,7:00 PM,E51-345,W ,2:00 PM,5:00 PM,E51-345
